total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,zona_id,lat_centro,lon_centro,prob_formalizacion,score_100,nivel
142,0.0,1.0,10,0.0,2016.5492957746478,0.28169014084507044,0.007042253521126761,156_252,20.404954954954704,-89.28195902924858,0.8000873647115985,80.0,Muy alto
76,0.0,1.0,8,0.0,2016.5526315789473,0.27631578947368424,0.0,156_253,20.404954954954704,-89.27713510461194,0.7224550560086932,72.2,Alto
3,0.0,1.0,1,0.0,2013.0,0.0,0.0,156_254,20.404954954954704,-89.2723111799753,0.5309857268745339,53.1,Alto
11,0.0,1.0,6,0.0,2020.909090909091,0.7272727272727273,0.0,157_196,20.409459459459207,-89.55209880890038,0.40307946424412733,40.3,Medio
4,0.0,1.0,4,0.0,2022.75,0.75,0.0,157_197,20.409459459459207,-89.54727488426374,0.48997413235829745,49.0,Medio
15,0.0,1.0,7,0.0,2022.0666666666666,0.8,0.0,157_198,20.409459459459207,-89.5424509596271,0.43649797032636534,43.6,Medio
25,0.0,1.0,7,0.0,2018.16,0.32,0.0,157_199,20.409459459459207,-89.53762703499046,0.6499787210612691,65.0,Alto
33,0.0,1.0,8,0.0,2019.6666666666667,0.5757575757575758,0.030303030303030304,157_200,20.409459459459207,-89.53280311035383,0.4518101453921101,45.2,Medio
34,0.0,1.0,10,0.0,2020.4411764705883,0.5882352941176471,0.029411764705882353,157_201,20.409459459459207,-89.52797918571719,0.11832497213606691,11.8,Bajo
1,0.0,1.0,1,0.0,2020.0,0.0,0.0,157_240,20.409459459459207,-89.33984612488825,0.41707872115160377,41.7,Medio
12,0.0,1.0,5,0.0,2015.25,0.25,0.0,157_251,20.409459459459207,-89.28678295388522,0.6105986967503345,61.1,Alto
21,0.0,1.0,4,0.0,2016.904761904762,0.3333333333333333,0.0,157_252,20.409459459459207,-89.28195902924858,0.6294664640283468,62.9,Alto
1,0.0,1.0,1,0.0,2010.0,0.0,0.0,158_199,20.41396396396371,-89.53762703499046,0.5691299769903053,56.9,Alto
6,0.0,1.0,5,0.0,2020.0,0.5,0.0,158_200,20.41396396396371,-89.53280311035383,0.550112742117231,55.0,Alto
3,0.0,1.0,2,0.0,2017.6666666666667,0.3333333333333333,0.0,158_251,20.41396396396371,-89.28678295388522,0.560552318919389,56.1,Alto
3,0.0,1.0,2,0.0,2020.6666666666667,0.6666666666666666,0.0,160_248,20.422972972972715,-89.30125472779514,0.4729178422042915,47.3,Medio
7,0.0,1.0,3,0.0,2017.4285714285713,0.42857142857142855,0.14285714285714285,160_249,20.422972972972715,-89.2964308031585,0.10630562093023409,10.6,Bajo
105,0.0,1.0,7,0.0,2014.647619047619,0.17142857142857143,0.0,161_247,20.42747747747722,-89.30607865243178,0.7764197019428561,77.6,Muy alto
149,0.0,1.0,12,0.0,2014.5771812080536,0.19463087248322147,0.0,161_248,20.42747747747722,-89.30125472779514,0.756356137104855,75.6,Muy alto
11,0.0,1.0,3,0.0,2013.7272727272727,0.18181818181818182,0.0,161_249,20.42747747747722,-89.2964308031585,0.61949703228403,61.9,Alto
97,0.0,1.0,5,0.0,2014.8865979381444,0.20618556701030927,0.0,162_247,20.43198198198172,-89.30607865243178,0.7332878194066841,73.3,Alto
174,0.0,1.0,8,0.0,2013.183908045977,0.11494252873563218,0.0,162_248,20.43198198198172,-89.30125472779514,0.8011250832652561,80.1,Muy alto
77,0.0,1.0,5,0.0,2014.4805194805194,0.18181818181818182,0.0,162_249,20.43198198198172,-89.2964308031585,0.7275953278067432,72.8,Alto
10,0.0,1.0,2,0.0,2013.4,0.0,0.0,163_247,20.436486486486224,-89.30607865243178,0.5290261389306571,52.9,Alto
69,0.0,1.0,9,0.0,2015.4057971014493,0.21739130434782608,0.0,163_248,20.436486486486224,-89.30125472779514,0.609429837595965,60.9,Alto
47,0.0,1.0,3,0.0,2016.0851063829787,0.23404255319148937,0.0,163_249,20.436486486486224,-89.2964308031585,0.684610341499599,68.5,Alto
4,0.0,1.0,4,0.0,2024.0,1.0,0.0,164_248,20.440990990990727,-89.30125472779514,0.614906024654972,61.5,Alto
2,0.0,1.0,2,0.0,2024.0,1.0,0.0,166_217,20.449999999999733,-89.45079639153096,0.5580561412394548,55.8,Alto
1,0.0,1.0,1,0.0,2020.0,0.0,0.0,166_346,20.449999999999733,-88.82851011340449,0.41707872115160377,41.7,Medio
15,0.0,1.0,5,0.0,2019.8,0.4,0.0,167_215,20.454504504504236,-89.46044424080424,0.6108444740925658,61.1,Alto
30,0.0,1.0,6,0.0,2021.1333333333334,0.6666666666666666,0.0,167_216,20.454504504504236,-89.4556203161676,0.46349536523188184,46.3,Medio
10,0.0,1.0,3,0.0,2021.5,0.6,0.0,167_217,20.454504504504236,-89.45079639153096,0.473772526676096,47.4,Medio
1,0.0,1.0,1,0.0,2020.0,0.0,0.0,168_172,20.45900900900874,-89.66787300017972,0.41707872115160377,41.7,Medio
39,0.0,1.0,7,0.0,2019.4871794871794,0.48717948717948717,0.02564102564102564,168_215,20.45900900900874,-89.46044424080424,0.5506839317663491,55.1,Alto
78,0.0,1.0,14,0.0,2017.7179487179487,0.32051282051282054,0.038461538461538464,168_216,20.45900900900874,-89.4556203161676,0.2942327908791948,29.4,Medio
2,0.0,1.0,1,0.0,2014.5,0.0,0.0,168_217,20.45900900900874,-89.45079639153096,0.5416140590177797,54.2,Alto
1,0.0,1.0,1,0.0,2010.0,0.0,0.0,168_266,20.45900900900874,-89.21442408433563,0.5691299769903053,56.9,Alto
3,0.0,1.0,2,0.0,2017.6666666666667,0.3333333333333333,0.0,168_293,20.45900900900874,-89.08417811914637,0.560552318919389,56.1,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,168_294,20.45900900900874,-89.07935419450973,0.4476832873392588,44.8,Medio
2,0.0,1.0,1,0.0,2019.0,0.0,0.0,169_85,20.46351351351324,-90.08755444356734,0.5251520174725584,52.5,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,169_87,20.46351351351324,-90.07790659429406,0.4476832873392588,44.8,Medio
7,0.0,1.0,4,0.0,2017.2857142857142,0.42857142857142855,0.0,169_215,20.46351351351324,-89.46044424080424,0.6192617016566574,61.9,Alto
16,0.0,1.0,5,0.0,2016.9375,0.4375,0.0,169_216,20.46351351351324,-89.4556203161676,0.5982773585885776,59.8,Alto
24,0.0,1.0,4,0.0,2018.875,0.4166666666666667,0.0,169_265,20.46351351351324,-89.21924800897227,0.6674378684896802,66.7,Alto
175,0.0,1.0,9,0.0,2016.6228571428571,0.2857142857142857,0.0,169_266,20.46351351351324,-89.21442408433563,0.8559062761356868,85.6,Muy alto
24,0.0,1.0,2,0.0,2015.1666666666667,0.125,0.0,169_267,20.46351351351324,-89.209600159699,0.6184512352744481,61.8,Alto
28,0.0,1.0,5,0.0,2016.9642857142858,0.32142857142857145,0.0,169_293,20.46351351351324,-89.08417811914637,0.6615975016874458,66.2,Alto
7,0.0,1.0,3,0.0,2014.4285714285713,0.14285714285714285,0.0,169_294,20.46351351351324,-89.07935419450973,0.6259152489792784,62.6,Alto
2,0.0,1.0,1,0.0,2014.0,0.0,0.0,169_295,20.46351351351324,-89.0745302698731,0.5653265962350782,56.5,Alto
1,0.0,1.0,1,0.0,2014.0,0.0,0.0,170_85,20.468018018017744,-90.08755444356734,0.5657158038250323,56.6,Alto
12,0.0,1.0,4,0.0,2016.75,0.16666666666666666,0.0,170_86,20.468018018017744,-90.0827305189307,0.5817734566192446,58.2,Alto
8,0.0,1.0,5,0.0,2013.875,0.0,0.0,170_87,20.468018018017744,-90.07790659429406,0.5426472856771397,54.3,Alto
2,0.0,1.0,2,0.0,2016.5,0.0,0.0,170_89,20.468018018017744,-90.06825874502078,0.4656095530831852,46.6,Medio
1,0.0,1.0,1,0.0,2010.0,0.0,0.0,170_90,20.468018018017744,-90.06343482038415,0.5691299769903053,56.9,Alto
2,0.0,1.0,2,0.0,2024.0,1.0,0.0,170_234,20.468018018017744,-89.36878967270809,0.5580561412394548,55.8,Alto
46,0.0,1.0,3,0.0,2016.9347826086957,0.2826086956521739,0.0,170_265,20.468018018017744,-89.21924800897227,0.6927586626279374,69.3,Alto
252,0.0,1.0,15,0.0,2015.6150793650793,0.21825396825396826,0.0,170_266,20.468018018017744,-89.21442408433563,0.7426096252717008,74.3,Alto
148,0.0,1.0,8,0.0,2016.0472972972973,0.25,0.006756756756756757,170_267,20.468018018017744,-89.209600159699,0.7741359669329232,77.4,Muy alto
46,0.0,1.0,7,0.0,2017.1739130434783,0.32608695652173914,0.0,170_293,20.468018018017744,-89.08417811914637,0.6693107153841912,66.9,Alto
68,0.0,1.0,8,0.0,2017.1617647058824,0.27941176470588236,0.0,170_294,20.468018018017744,-89.07935419450973,0.7427317597247964,74.3,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,170_295,20.468018018017744,-89.0745302698731,0.4476832873392588,44.8,Medio
1,0.0,1.0,1,0.0,2014.0,0.0,0.0,171_84,20.472522522522247,-90.09237836820398,0.5657158038250323,56.6,Alto
14,0.0,1.0,4,0.0,2016.9285714285713,0.2857142857142857,0.0,171_85,20.472522522522247,-90.08755444356734,0.6222274796208966,62.2,Alto
56,0.0,1.0,9,0.0,2018.232142857143,0.375,0.0,171_86,20.472522522522247,-90.0827305189307,0.5543882789190785,55.4,Alto
