zona_id,lat_centro,lon_centro,total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,nuevos_formalizados,alta_formalizacion
283_177,20.977027027026573,-89.64375337699653,59,0.0,1.0,12,0.0,2016.593220338983,0.288135593220339,0.01694915254237288,0,0
283_178,20.977027027026573,-89.63892945235989,125,0.0,1.0,15,0.0,2016.152,0.264,0.048,0,0
283_179,20.977027027026573,-89.63410552772325,99,0.0,1.0,12,0.0,2016.6767676767677,0.32323232323232326,0.04040404040404041,0,0
283_180,20.977027027026573,-89.62928160308661,79,0.0,1.0,14,0.0,2014.6582278481012,0.20253164556962025,0.0379746835443038,0,0
283_181,20.977027027026573,-89.62445767844997,89,0.0,1.0,14,0.0,2016.3820224719102,0.3146067415730337,0.033707865168539325,0,0
283_182,20.977027027026573,-89.61963375381333,188,0.0,1.0,17,0.0,2017.3510638297873,0.3404255319148936,0.015957446808510637,0,0
283_183,20.977027027026573,-89.61480982917669,112,0.0,1.0,16,0.0,2016.9910714285713,0.375,0.0625,0,0
283_184,20.977027027026573,-89.60998590454005,35,0.0,1.0,11,0.0,2014.6857142857143,0.14285714285714285,0.0,0,0
283_185,20.977027027026573,-89.60516197990341,122,0.0,1.0,17,0.0,2016.4262295081967,0.23770491803278687,0.02459016393442623,0,0
283_186,20.977027027026573,-89.60033805526677,166,0.0,1.0,13,0.0,2017.94578313253,0.39156626506024095,0.04216867469879518,0,0
283_187,20.977027027026573,-89.59551413063014,84,0.0,1.0,14,0.0,2018.5714285714287,0.2976190476190476,0.011904761904761904,0,0
283_188,20.977027027026573,-89.5906902059935,78,0.0,1.0,11,0.0,2017.2564102564102,0.34615384615384615,0.01282051282051282,0,0
283_189,20.977027027026573,-89.58586628135686,107,0.0,1.0,13,0.0,2018.6635514018692,0.4392523364485981,0.009345794392523364,0,0
283_190,20.977027027026573,-89.58104235672022,112,0.0,1.0,13,0.0,2018.2232142857142,0.36607142857142855,0.017857142857142856,0,0
283_191,20.977027027026573,-89.57621843208358,107,0.0,1.0,12,0.0,2017.9345794392523,0.37383177570093457,0.028037383177570093,0,0
283_192,20.977027027026573,-89.57139450744694,80,0.0,1.0,11,0.0,2019.575,0.525,0.0,0,0
283_193,20.977027027026573,-89.5665705828103,40,0.0,1.0,10,0.0,2017.75,0.3,0.0,0,0
283_194,20.977027027026573,-89.56174665817366,15,0.0,1.0,5,0.0,2019.3333333333333,0.3333333333333333,0.06666666666666667,0,0
283_195,20.977027027026573,-89.55692273353702,41,0.0,1.0,9,0.0,2019.219512195122,0.4634146341463415,0.04878048780487805,0,0
283_196,20.977027027026573,-89.55209880890038,43,0.0,1.0,9,0.0,2019.7441860465117,0.46511627906976744,0.0,0,0
283_197,20.977027027026573,-89.54727488426374,44,0.0,1.0,7,0.0,2022.4545454545455,0.75,0.0,0,0
283_198,20.977027027026573,-89.5424509596271,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
283_213,20.977027027026573,-89.47009209007751,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
283_217,20.977027027026573,-89.45079639153096,2,0.0,1.0,2,0.0,2016.5,0.0,0.0,0,0
283_218,20.977027027026573,-89.44597246689432,23,0.0,1.0,7,0.0,2017.6521739130435,0.34782608695652173,0.043478260869565216,0,0
283_219,20.977027027026573,-89.44114854225768,109,0.0,1.0,14,0.0,2017.091743119266,0.3394495412844037,0.0,0,0
283_220,20.977027027026573,-89.43632461762104,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
283_263,20.977027027026573,-89.22889585824555,20,0.0,1.0,3,0.0,2019.4,0.4,0.0,0,0
283_264,20.977027027026573,-89.22407193360891,12,0.0,1.0,4,0.0,2018.3333333333333,0.4166666666666667,0.0,0,0
283_393,20.977027027026573,-88.60178565548244,13,0.0,1.0,3,0.0,2020.923076923077,0.6153846153846154,0.0,0,0
283_494,20.977027027026573,-88.11456926718188,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,0
284_133,20.981531531531076,-89.85600606100866,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
284_134,20.981531531531076,-89.85118213637202,3,0.0,1.0,1,0.0,2018.0,0.0,0.0,0,0
284_137,20.981531531531076,-89.8367103624621,1,0.0,1.0,1,0.0,2022.0,0.0,0.0,0,0
284_163,20.981531531531076,-89.71128832190948,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
284_164,20.981531531531076,-89.70646439727284,20,0.0,1.0,5,0.0,2022.8,0.75,0.05,0,0
284_165,20.981531531531076,-89.7016404726362,3,0.0,1.0,1,0.0,2024.6666666666667,1.0,0.6666666666666666,0,0
284_166,20.981531531531076,-89.69681654799956,3,0.0,1.0,3,0.0,2022.6666666666667,0.6666666666666666,0.3333333333333333,0,0
284_167,20.981531531531076,-89.69199262336292,19,0.0,1.0,6,0.0,2020.842105263158,0.5789473684210527,0.0,0,0
284_169,20.981531531531076,-89.68234477408964,36,0.0,1.0,13,0.0,2018.638888888889,0.4444444444444444,0.0,0,0
284_170,20.981531531531076,-89.677520849453,57,0.0,1.0,10,0.0,2018.2456140350878,0.43859649122807015,0.017543859649122806,0,0
284_171,20.981531531531076,-89.67269692481636,76,0.0,1.0,12,0.0,2019.8684210526317,0.6052631578947368,0.02631578947368421,0,0
284_172,20.981531531531076,-89.66787300017972,4,0.0,1.0,3,0.0,2019.0,0.25,0.0,0,0
284_173,20.981531531531076,-89.66304907554309,59,0.0,1.0,14,0.0,2016.7288135593221,0.2711864406779661,0.0,0,0
284_174,20.981531531531076,-89.65822515090645,50,0.0,1.0,12,0.0,2017.04,0.32,0.02,0,0
284_175,20.981531531531076,-89.6534012262698,111,0.0,1.0,14,0.0,2018.4954954954956,0.3963963963963964,0.018018018018018018,0,0
284_176,20.981531531531076,-89.64857730163317,68,0.0,1.0,14,0.0,2016.5735294117646,0.27941176470588236,0.014705882352941176,0,0
284_177,20.981531531531076,-89.64375337699653,26,0.0,1.0,12,0.0,2018.1538461538462,0.34615384615384615,0.11538461538461539,0,0
284_178,20.981531531531076,-89.63892945235989,80,0.0,1.0,13,0.0,2016.45,0.3125,0.025,0,0
284_179,20.981531531531076,-89.63410552772325,85,0.0,1.0,13,0.0,2016.870588235294,0.32941176470588235,0.0,0,0
284_180,20.981531531531076,-89.62928160308661,53,0.0,1.0,13,0.0,2017.2264150943397,0.3018867924528302,0.018867924528301886,0,0
284_181,20.981531531531076,-89.62445767844997,117,0.0,1.0,17,0.0,2015.8803418803418,0.23076923076923078,0.017094017094017096,0,0
284_182,20.981531531531076,-89.61963375381333,126,0.0,1.0,17,0.0,2016.6587301587301,0.25396825396825395,0.031746031746031744,0,0
284_183,20.981531531531076,-89.61480982917669,100,0.0,1.0,15,0.0,2014.59,0.17,0.01,0,0
284_184,20.981531531531076,-89.60998590454005,70,0.0,1.0,15,0.0,2016.3714285714286,0.2714285714285714,0.04285714285714286,0,0
284_185,20.981531531531076,-89.60516197990341,78,0.0,1.0,14,0.0,2016.6025641025642,0.2948717948717949,0.0,0,0
284_186,20.981531531531076,-89.60033805526677,77,0.0,1.0,13,0.0,2017.5974025974026,0.4155844155844156,0.012987012987012988,0,0
284_187,20.981531531531076,-89.59551413063014,96,0.0,1.0,15,0.0,2017.2708333333333,0.3541666666666667,0.052083333333333336,0,0
284_188,20.981531531531076,-89.5906902059935,15,0.0,1.0,8,0.0,2019.7333333333333,0.4666666666666667,0.13333333333333333,0,0
284_189,20.981531531531076,-89.58586628135686,85,0.0,1.0,10,0.0,2017.8470588235293,0.4117647058823529,0.023529411764705882,0,0
284_190,20.981531531531076,-89.58104235672022,97,0.0,1.0,12,0.0,2017.7835051546392,0.29896907216494845,0.010309278350515464,0,0
284_191,20.981531531531076,-89.57621843208358,87,0.0,1.0,11,0.0,2018.8275862068965,0.367816091954023,0.022988505747126436,0,0
284_192,20.981531531531076,-89.57139450744694,72,0.0,1.0,11,0.0,2020.361111111111,0.5138888888888888,0.20833333333333334,0,0
284_193,20.981531531531076,-89.5665705828103,14,0.0,1.0,7,0.0,2019.9285714285713,0.5714285714285714,0.07142857142857142,0,0
284_194,20.981531531531076,-89.56174665817366,6,0.0,1.0,4,0.0,2015.8333333333333,0.0,0.0,0,0
284_195,20.981531531531076,-89.55692273353702,31,0.0,1.0,10,0.0,2021.4193548387098,0.5806451612903226,0.06451612903225806,0,0
284_196,20.981531531531076,-89.55209880890038,9,0.0,1.0,5,0.0,2021.5555555555557,0.5555555555555556,0.0,0,0
284_197,20.981531531531076,-89.54727488426374,30,0.0,1.0,6,0.0,2023.0,0.8333333333333334,0.13333333333333333,0,0
284_198,20.981531531531076,-89.5424509596271,11,0.0,1.0,7,0.0,2021.7272727272727,0.6363636363636364,0.0,0,0
284_218,20.981531531531076,-89.44597246689432,2,0.0,1.0,2,0.0,2012.0,0.0,0.0,0,0
284_219,20.981531531531076,-89.44114854225768,13,0.0,1.0,7,0.0,2018.4615384615386,0.3076923076923077,0.0,0,0
284_220,20.981531531531076,-89.43632461762104,3,0.0,1.0,3,0.0,2014.6666666666667,0.3333333333333333,0.0,0,0
284_261,20.981531531531076,-89.23854370751883,14,0.0,1.0,5,0.0,2014.857142857143,0.14285714285714285,0.0,0,0
284_262,20.981531531531076,-89.23371978288219,28,0.0,1.0,8,0.0,2016.3214285714287,0.25,0.0,0,0
284_263,20.981531531531076,-89.22889585824555,149,0.0,1.0,15,0.0,2018.6174496644296,0.4563758389261745,0.006711409395973154,0,0
284_264,20.981531531531076,-89.22407193360891,60,0.0,1.0,10,0.0,2018.95,0.4166666666666667,0.016666666666666666,0,0
284_265,20.981531531531076,-89.21924800897227,28,0.0,1.0,5,0.0,2021.5,0.6428571428571429,0.0,0,0
284_266,20.981531531531076,-89.21442408433563,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
285_141,20.98603603603558,-89.81741466391554,1,0.0,1.0,1,0.0,2025.0,1.0,1.0,0,0
285_145,20.98603603603558,-89.79811896536899,4,0.0,1.0,4,0.0,2024.5,1.0,0.75,0,0
285_161,20.98603603603558,-89.72093617118276,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,0
285_162,20.98603603603558,-89.71611224654612,6,0.0,1.0,2,0.0,2022.8333333333333,0.6666666666666666,0.0,0,0
285_163,20.98603603603558,-89.71128832190948,8,0.0,1.0,3,0.0,2023.375,0.875,0.0,0,0
285_164,20.98603603603558,-89.70646439727284,6,0.0,1.0,5,0.0,2023.1666666666667,0.8333333333333334,0.0,0,0
285_165,20.98603603603558,-89.7016404726362,40,0.0,1.0,9,0.0,2022.2,0.725,0.0,0,0
285_166,20.98603603603558,-89.69681654799956,22,0.0,1.0,7,0.0,2019.5,0.45454545454545453,0.045454545454545456,0,0
285_167,20.98603603603558,-89.69199262336292,38,0.0,1.0,8,0.0,2021.2631578947369,0.5263157894736842,0.0,0,0
285_168,20.98603603603558,-89.68716869872628,20,0.0,1.0,7,0.0,2021.5,0.55,0.0,0,0
285_169,20.98603603603558,-89.68234477408964,9,0.0,1.0,4,0.0,2018.7777777777778,0.3333333333333333,0.0,0,0
285_170,20.98603603603558,-89.677520849453,59,0.0,1.0,10,0.0,2018.7627118644068,0.4067796610169492,0.0847457627118644,0,0
285_171,20.98603603603558,-89.67269692481636,48,0.0,1.0,10,0.0,2017.625,0.3958333333333333,0.020833333333333332,0,0
285_172,20.98603603603558,-89.66787300017972,76,0.0,1.0,7,0.0,2016.5263157894738,0.3026315789473684,0.039473684210526314,0,0
285_173,20.98603603603558,-89.66304907554309,68,0.0,1.0,11,0.0,2018.5441176470588,0.39705882352941174,0.058823529411764705,0,0
285_174,20.98603603603558,-89.65822515090645,97,0.0,1.0,15,0.0,2017.5463917525774,0.32989690721649484,0.041237113402061855,0,0
285_175,20.98603603603558,-89.6534012262698,100,0.0,1.0,14,0.0,2017.75,0.41,0.01,0,0
285_176,20.98603603603558,-89.64857730163317,27,0.0,1.0,11,0.0,2017.111111111111,0.18518518518518517,0.0,0,0
285_177,20.98603603603558,-89.64375337699653,29,0.0,1.0,8,0.0,2017.9655172413793,0.4482758620689655,0.034482758620689655,0,0
285_178,20.98603603603558,-89.63892945235989,206,0.0,1.0,14,0.0,2013.131067961165,0.10194174757281553,0.009708737864077669,0,0
285_179,20.98603603603558,-89.63410552772325,68,0.0,1.0,15,0.0,2014.3088235294117,0.17647058823529413,0.058823529411764705,0,0
285_180,20.98603603603558,-89.62928160308661,74,0.0,1.0,15,0.0,2016.3108108108108,0.25675675675675674,0.013513513513513514,0,0
285_181,20.98603603603558,-89.62445767844997,82,0.0,1.0,15,0.0,2017.2560975609756,0.34146341463414637,0.036585365853658534,0,0
